point,time_s,current_A
0,0.0,4.017239115134586e-06
1,0.03750190933209334,3.979839472778615e-06
2,0.08044618535148484,3.983711965942164e-06
3,0.12095989915638872,4.004344288937095e-06
4,0.15046404295620056,4.120946360925102e-06
5,0.18146736865442506,4.0444550321446465e-06
6,0.2239384375623503,3.995323189939291e-06
7,0.2490437436536618,3.953648635964528e-06
8,0.2904683120213171,3.949200121007067e-06
9,0.33140970059635805,4.128216400893799e-06
10,0.3657683996532325,4.040534984338168e-06
11,0.3968290481896188,4.005404044664852e-06
12,0.42739756043163424,3.972305452627782e-06
13,0.45749495218471675,3.911275727063958e-06
14,0.49139647830236965,3.994651075402408e-06
15,0.5264874434815288,4.069892642757616e-06
16,0.5625573905230186,3.9685970202530005e-06
17,0.6074673961917064,3.981820593359955e-06
18,0.6483206345759814,3.982317251884882e-06
19,0.6857642191648047,4.008767549439854e-06
20,0.7305434221184424,3.872559129700351e-06
21,0.7598495960831544,3.9811681318427925e-06
22,0.7880538367603113,3.931648358547674e-06
23,0.8253046288457719,4.070766802605008e-06
24,0.8511834690049996,3.938352105874811e-06
25,0.8768970745804716,4.046163739784055e-06
26,0.912194850985899,4.121954996218141e-06
27,0.9465189714924048,3.9749122990974694e-06
28,0.9898623269562619,3.9518738998301225e-06
29,1.027446852046082,4.015314580730088e-06
30,1.0627292049780723,3.9998376777912774e-06
31,1.0976666736859424,3.920510692212823e-06
32,1.127616972126489,4.03687355325707e-06
33,1.1528528526373392,4.161241284278032e-06
34,1.1817008955170454,3.979351040378742e-06
35,1.2205415379346822,3.983769904314827e-06
36,1.249553672414422,3.916405438114473e-06
37,1.2819443986264663,4.025527076134923e-06
38,1.3070190834675077,3.900241902023389e-06
39,1.3486200380635427,3.911445518051881e-06
40,1.3767092596847714,4.102373381747503e-06
41,1.4070612457760472,3.927563755248428e-06
42,1.4496678888556638,4.086508605546507e-06
43,1.4848637050530322,4.121948640302624e-06
44,1.5268067099803495,4.020746116598139e-06
45,1.5646010533192,4.044271312228066e-06
46,1.6044364722664373,4.1561800754949425e-06
47,1.6312663843676982,3.984261727834742e-06
48,1.667089260795228,3.95255953624467e-06
49,1.7022447055212349,3.891741514817365e-06
50,1.7446714930550924,4.003336566427708e-06
51,1.7768967742353756,4.118331536873465e-06
52,1.81386045557952,4.076767630512069e-06
53,1.84004548842643,3.9246327006865635e-06
54,1.8727981244486445,3.931569969293392e-06
55,1.9042588513738086,3.959666301652723e-06
56,1.9322628459552176,4.0233814465996275e-06
57,1.973589608031599,3.9835750858317055e-06
58,2.0061785314626053,2.4017156315635448e-05
59,2.05075348915083,2.4023739150243636e-05
60,2.087553323011042,2.3976098113065726e-05
61,2.124654448087639,2.3996786084671763e-05
62,2.1624143797034057,2.4016527390177284e-05
63,2.2009433845796615,2.3993282423717346e-05
64,2.228959144963029,2.4040281669199524e-05
65,2.262765414306793,2.414967006186624e-05
66,2.2925566935433834,2.4047357782781668e-05
67,2.325606659505463,2.4004464843712685e-05
68,2.352540741384098,2.3865110510131048e-05
69,2.3968973024050744,2.4031036566881217e-05
70,2.426197383152192,2.3844265727058624e-05
71,2.4646326864044177,2.388727727310751e-05
72,2.495641088033999,2.40683711401975e-05
73,2.538122628556989,2.4056498804810934e-05
74,2.576366923323758,2.398800488013209e-05
75,2.6039992396399243,2.3863199111507825e-05
76,2.645900726057415,2.397029211864873e-05
